,Adams,Allen,Anderson,Bailey,Baker,Barnes,Bell,Bennett,Brooks,Brown,Butler,Campbell,Carter,Clark,Collins,Cook,Cooper,Cox,Cruz,Davis,Diaz,Edwards,Evans,Fisher,Flores,Foster,Garcia,Gomez,Gonzalez,Gray,Green,Gutierrez,Hall,Harris,Hernandez,Hill,Howard,Hughes,Jackson,James,Jenkins,Johnson,Jones,Kelly,King,Lee,Lewis,Long,Lopez,Martin,Martinez,Miller,Mitchell,Moore,Morales,Morgan,Morris,Murphy,Myers,Nelson,Nguyen,Ortiz,Parker,Perez,Perry,Peterson,Phillips,Powell,Price,Ramirez,Reed,Reyes,Richardson,Rivera,Roberts,Robinson,Rodriguez,Rogers,Ross,Russell,Sanchez,Sanders,Scott,Smith,Stewart,Sullivan,Taylor,Thomas,Thompson,Torres,Turner,Walker,Ward,Watson,White,Williams,Wilson,Wood,Wright,Young
Adams,"-0,2284382284","-0,0979020979","-0,2121212121","-0,2773892774","-0,1142191142","-0,0979020979","-0,2121212121","-0,2447552448","-0,1305361305","0,7552447552","-0,0326340326","-0,1631701632","0,7389277389","-0,0979020979","-0,1142191142","-0,2121212121","-0,048951049","-0,2121212121","0,68997669","-0,048951049","0,641025641","-0,1305361305","-0,0815850816","-0,1305361305","-0,1631701632","-0,0652680653","-0,048951049","-0,048951049","-0,0979020979","-0,0163170163","-0,2121212121","-0,0979020979","-0,0979020979","-0,0979020979","-0,0979020979","0,7062937063","-0,0652680653","0,68997669","-0,0815850816","0,7226107226","-0,2121212121","-0,1794871795","-0,2447552448","-0,0815850816","0,7552447552","-0,0815850816","-0,2447552448","-0,0326340326","-0,0163170163","-0,048951049","-0,0163170163","-0,0979020979","-0,0815850816","-0,1631701632","-0,0815850816","-0,2447552448","-0,1794871795","-0,0815850816","0,7878787879","-0,1305361305","-0,0652680653","-0,2447552448",0,"0,7878787879","0,6247086247","-0,0326340326","-0,1631701632","-0,0163170163","-0,1142191142","-0,0652680653","-0,048951049","-0,0652680653","-0,0326340326","-0,1958041958","-0,1794871795","-0,2610722611","-0,1631701632","-0,048951049","-0,0652680653","-0,1631701632","-0,048951049","-0,048951049","-0,0326340326","-0,1794871795","0,7226107226","-0,1468531469","0,6736596737","-0,0326340326","-0,0326340326","-0,2447552448","-0,1305361305","0,7715617716","-0,0815850816","-0,2610722611","-0,048951049","-0,048951049","-0,2937062937","-0,0815850816","-0,0652680653","-0,0652680653"
Allen,"-0,0979020979","-0,041958042","-0,0909090909","-0,1188811189","-0,048951049","-0,041958042","-0,0909090909","-0,1048951049","-0,0559440559","-0,1048951049","-0,013986014","-0,0699300699","-0,1118881119","-0,041958042","-0,048951049","-0,0909090909","-0,020979021","-0,0909090909","-0,1328671329","-0,020979021","-0,1538461538","0,9440559441","0,965034965","-0,0559440559","-0,0699300699","-0,027972028","-0,020979021","-0,020979021","0,958041958","-0,006993007","-0,0909090909","-0,041958042","-0,041958042","-0,041958042","-0,041958042","-0,1258741259","-0,027972028","-0,1328671329","-0,034965035","-0,1188811189","-0,0909090909","-0,0769230769","-0,1048951049","-0,034965035","-0,1048951049","-0,034965035","-0,1048951049","-0,013986014","0,993006993","-0,020979021","-0,006993007","-0,041958042","-0,034965035","-0,0699300699","-0,034965035","-0,1048951049","-0,0769230769","-0,034965035","-0,0909090909","-0,0559440559","-0,027972028","-0,1048951049",0,"-0,0909090909","-0,1608391608","-0,013986014","-0,0699300699","-0,006993007","-0,048951049","0,972027972","-0,020979021","0,972027972","-0,013986014","-0,0839160839","-0,0769230769","-0,1118881119","-0,0699300699","-0,020979021","-0,027972028","-0,0699300699","-0,020979021","-0,020979021","-0,013986014","-0,0769230769","-0,1188811189","-0,0629370629","-0,1398601399","-0,013986014","-0,013986014","-0,1048951049","-0,0559440559","-0,0979020979","-0,034965035","-0,1118881119","-0,020979021","-0,020979021","-0,1258741259","-0,034965035","-0,027972028","-0,027972028"
Anderson,"-0,2121212121","-0,0909090909","-0,196969697","-0,2575757576","-0,1060606061","-0,0909090909","0,803030303","-0,2272727273","-0,1212121212","-0,2272727273","-0,0303030303","0,8484848485","-0,2424242424","-0,0909090909","-0,1060606061","0,803030303","-0,0454545455","0,803030303","-0,2878787879","-0,0454545455","-0,3333333333","-0,1212121212","-0,0757575758","-0,1212121212","0,8484848485","-0,0606060606","-0,0454545455","-0,0454545455","-0,0909090909","-0,0151515152","-0,196969697","-0,0909090909","-0,0909090909","-0,0909090909","-0,0909090909","-0,2727272727","-0,0606060606","-0,2878787879","-0,0757575758","-0,2575757576","0,803030303","0,8333333333","-0,2272727273","-0,0757575758","-0,2272727273","-0,0757575758","-0,2272727273","-0,0303030303","-0,0151515152","-0,0454545455","-0,0151515152","-0,0909090909","-0,0757575758","0,8484848485","-0,0757575758","-0,2272727273","0,8333333333","-0,0757575758","-0,196969697","-0,1212121212","-0,0606060606","-0,2272727273",0,"-0,196969697","-0,3484848485","-0,0303030303","0,8484848485","-0,0151515152","-0,1060606061","-0,0606060606","-0,0454545455","-0,0606060606","-0,0303030303","-0,1818181818","-0,1666666667","-0,2424242424","0,8484848485","-0,0454545455","-0,0606060606","0,8484848485","-0,0454545455","-0,0454545455","-0,0303030303","0,8333333333","-0,2575757576","-0,1363636364","-0,303030303","-0,0303030303","-0,0303030303","-0,2272727273","-0,1212121212","-0,2121212121","-0,0757575758","-0,2424242424","-0,0454545455","-0,0454545455","-0,2727272727","-0,0757575758","-0,0606060606","-0,0606060606"
Bailey,"-0,2773892774","-0,1188811189","-0,2575757576","-0,3368298368","-0,1386946387","-0,1188811189","-0,2575757576","-0,2972027972","-0,1585081585","0,7027972028","-0,0396270396","-0,1981351981","0,682983683","-0,1188811189","0,8613053613","-0,2575757576","-0,0594405594","-0,2575757576","0,6235431235","-0,0594405594","0,5641025641","-0,1585081585","-0,0990675991","-0,1585081585","-0,1981351981","-0,0792540793","-0,0594405594","-0,0594405594","-0,1188811189","-0,0198135198","0,7424242424","-0,1188811189","-0,1188811189","-0,1188811189","-0,1188811189","-0,3566433566","-0,0792540793","0,6235431235","-0,0990675991","0,6631701632","-0,2575757576","-0,2179487179","-0,2972027972","-0,0990675991","-0,2972027972","-0,0990675991","0,7027972028","-0,0396270396","-0,0198135198","-0,0594405594","-0,0198135198","-0,1188811189","-0,0990675991","-0,1981351981","-0,0990675991","-0,2972027972","-0,2179487179","0,9009324009","0,7424242424","-0,1585081585","-0,0792540793","-0,2972027972",0,"0,7424242424","-0,4557109557","-0,0396270396","-0,1981351981","-0,0198135198","-0,1386946387","-0,0792540793","-0,0594405594","-0,0792540793","-0,0396270396","0,7622377622","-0,2179487179","0,682983683","-0,1981351981","-0,0594405594","-0,0792540793","-0,1981351981","-0,0594405594","-0,0594405594","-0,0396270396","-0,2179487179","-0,3368298368","-0,1783216783","0,6037296037","-0,0396270396","-0,0396270396","-0,2972027972","-0,1585081585","-0,2773892774","-0,0990675991","0,682983683","-0,0594405594","-0,0594405594","0,6433566434","-0,0990675991","-0,0792540793","-0,0792540793"
Baker,"-0,1142191142","-0,048951049","-0,1060606061","-0,1386946387","-0,0571095571","0,951048951","-0,1060606061","-0,1223776224","-0,0652680653","-0,1223776224","-0,0163170163","-0,0815850816","-0,1305361305","-0,048951049","-0,0571095571","-0,1060606061","-0,0244755245","-0,1060606061","-0,155011655","-0,0244755245","-0,1794871795","-0,0652680653","-0,0407925408","-0,0652680653","-0,0815850816","-0,0326340326","-0,0244755245","-0,0244755245","-0,048951049","-0,0081585082","0,8939393939","-0,048951049","-0,048951049","-0,048951049","-0,048951049","-0,1468531469","-0,0326340326","-0,155011655","-0,0407925408","-0,1386946387","-0,1060606061","-0,0897435897","-0,1223776224","-0,0407925408","-0,1223776224","-0,0407925408","-0,1223776224","0,9836829837","-0,0081585082","-0,0244755245","-0,0081585082","-0,048951049","-0,0407925408","-0,0815850816","0,9592074592","-0,1223776224","-0,0897435897","-0,0407925408","-0,1060606061","-0,0652680653","0,9673659674","-0,1223776224",0,"-0,1060606061","-0,1876456876","-0,0163170163","-0,0815850816","-0,0081585082","-0,0571095571","-0,0326340326","-0,0244755245","-0,0326340326","-0,0163170163","-0,0979020979","0,9102564103","-0,1305361305","-0,0815850816","-0,0244755245","-0,0326340326","-0,0815850816","-0,0244755245","-0,0244755245","-0,0163170163","-0,0897435897","-0,1386946387","-0,0734265734","-0,1631701632","-0,0163170163","-0,0163170163","-0,1223776224","-0,0652680653","-0,1142191142","-0,0407925408","-0,1305361305","-0,0244755245","-0,0244755245","-0,1468531469","0,9592074592","-0,0326340326","-0,0326340326"
Barnes,"-0,0979020979","-0,041958042","-0,0909090909","-0,1188811189","0,951048951","-0,041958042","-0,0909090909","-0,1048951049","-0,0559440559","-0,1048951049","-0,013986014","-0,0699300699","-0,1118881119","-0,041958042","-0,048951049","-0,0909090909","-0,020979021","-0,0909090909","-0,1328671329","-0,020979021","-0,1538461538","-0,0559440559","-0,034965035","-0,0559440559","-0,0699300699","-0,027972028","-0,020979021","-0,020979021","-0,041958042","-0,006993007","-0,0909090909","-0,041958042","-0,041958042","-0,041958042","-0,041958042","-0,1258741259","-0,027972028","-0,1328671329","-0,034965035","-0,1188811189","-0,0909090909","-0,0769230769","-0,1048951049","-0,034965035","-0,1048951049","-0,034965035","-0,1048951049","-0,013986014","-0,006993007","-0,020979021","-0,006993007","0,958041958","-0,034965035","-0,0699300699","-0,034965035","-0,1048951049","-0,0769230769","-0,034965035","-0,0909090909","-0,0559440559","-0,027972028","-0,1048951049",0,"-0,0909090909","-0,1608391608","-0,013986014","-0,0699300699","-0,006993007","0,951048951","-0,027972028","-0,020979021","-0,027972028","-0,013986014","-0,0839160839","0,9230769231","-0,1118881119","-0,0699300699","-0,020979021","-0,027972028","-0,0699300699","-0,020979021","-0,020979021","-0,013986014","-0,0769230769","-0,1188811189","-0,0629370629","-0,1398601399","-0,013986014","-0,013986014","-0,1048951049","-0,0559440559","-0,0979020979","-0,034965035","-0,1118881119","-0,020979021","0,979020979","-0,1258741259","0,965034965","-0,027972028","-0,027972028"
Bell,"-0,2121212121","-0,0909090909","0,803030303","-0,2575757576","-0,1060606061","-0,0909090909","-0,196969697","-0,2272727273","-0,1212121212","-0,2272727273","-0,0303030303","0,8484848485","-0,2424242424","-0,0909090909","-0,1060606061","0,803030303","-0,0454545455","0,803030303","-0,2878787879","-0,0454545455","-0,3333333333","-0,1212121212","-0,0757575758","-0,1212121212","0,8484848485","-0,0606060606","-0,0454545455","-0,0454545455","-0,0909090909","-0,0151515152","-0,196969697","-0,0909090909","-0,0909090909","-0,0909090909","-0,0909090909","-0,2727272727","-0,0606060606","-0,2878787879","-0,0757575758","-0,2575757576","0,803030303","0,8333333333","-0,2272727273","-0,0757575758","-0,2272727273","-0,0757575758","-0,2272727273","-0,0303030303","-0,0151515152","-0,0454545455","-0,0151515152","-0,0909090909","-0,0757575758","0,8484848485","-0,0757575758","-0,2272727273","0,8333333333","-0,0757575758","-0,196969697","-0,1212121212","-0,0606060606","-0,2272727273",0,"-0,196969697","-0,3484848485","-0,0303030303","0,8484848485","-0,0151515152","-0,1060606061","-0,0606060606","-0,0454545455","-0,0606060606","-0,0303030303","-0,1818181818","-0,1666666667","-0,2424242424","0,8484848485","-0,0454545455","-0,0606060606","0,8484848485","-0,0454545455","-0,0454545455","-0,0303030303","0,8333333333","-0,2575757576","-0,1363636364","-0,303030303","-0,0303030303","-0,0303030303","-0,2272727273","-0,1212121212","-0,2121212121","-0,0757575758","-0,2424242424","-0,0454545455","-0,0454545455","-0,2727272727","-0,0757575758","-0,0606060606","-0,0606060606"
Bennett,"-0,2447552448","-0,1048951049","-0,2272727273","-0,2972027972","-0,1223776224","-0,1048951049","-0,2272727273","-0,2622377622","-0,1398601399","-0,2622377622","-0,034965035","-0,1748251748","-0,2797202797","-0,1048951049","-0,1223776224","-0,2272727273","-0,0524475524","-0,2272727273","0,6678321678","-0,0524475524","0,6153846154","0,8601398601","-0,0874125874","-0,1398601399","-0,1748251748","-0,0699300699","-0,0524475524","-0,0524475524","-0,1048951049","-0,0174825175","-0,2272727273","-0,1048951049","-0,1048951049","-0,1048951049","0,8951048951","-0,3146853147","-0,0699300699","0,6678321678","-0,0874125874","-0,2972027972","-0,2272727273","-0,1923076923","0,7377622378","-0,0874125874","-0,2622377622","-0,0874125874","-0,2622377622","-0,034965035","-0,0174825175","-0,0524475524","-0,0174825175","-0,1048951049","-0,0874125874","-0,1748251748","-0,0874125874","0,7377622378","-0,1923076923","-0,0874125874","-0,2272727273","-0,1398601399","-0,0699300699","0,7377622378",0,"-0,2272727273","0,5979020979","-0,034965035","-0,1748251748","-0,0174825175","-0,1223776224","-0,0699300699","-0,0524475524","-0,0699300699","-0,034965035","-0,2097902098","-0,1923076923","0,7202797203","-0,1748251748","-0,0524475524","-0,0699300699","-0,1748251748","-0,0524475524","-0,0524475524","-0,034965035","-0,1923076923","0,7027972028","-0,1573426573","-0,3496503497","-0,034965035","-0,034965035","0,7377622378","-0,1398601399","0,7552447552","-0,0874125874","0,7202797203","-0,0524475524","-0,0524475524","0,6853146853","-0,0874125874","-0,0699300699","-0,0699300699"
Brooks,"-0,1305361305","-0,0559440559","-0,1212121212","-0,1585081585","-0,0652680653","-0,0559440559","-0,1212121212","-0,1398601399","-0,0745920746","-0,1398601399","-0,0186480186","-0,0932400932","-0,1491841492","-0,0559440559","-0,0652680653","-0,1212121212","-0,027972028","-0,1212121212","-0,1771561772","-0,027972028","-0,2051282051","-0,0745920746","-0,0466200466","-0,0745920746","-0,0932400932","-0,0372960373","-0,027972028","-0,027972028","-0,0559440559","-0,0093240093","-0,1212121212","-0,0559440559","0,9440559441","-0,0559440559","-0,0559440559","-0,1678321678","0,9627039627","-0,1771561772","-0,0466200466","-0,1585081585","-0,1212121212","-0,1025641026","0,8601398601","-0,0466200466","-0,1398601399","-0,0466200466","-0,1398601399","-0,0186480186","-0,0093240093","-0,027972028","-0,0093240093","-0,0559440559","-0,0466200466","-0,0932400932","-0,0466200466","-0,1398601399","-0,1025641026","-0,0466200466","-0,1212121212","0,9254079254","-0,0372960373","0,8601398601",0,"-0,1212121212","-0,2144522145","-0,0186480186","-0,0932400932","-0,0093240093","-0,0652680653","-0,0372960373","-0,027972028","-0,0372960373","0,9813519814","-0,1118881119","-0,1025641026","-0,1491841492","-0,0932400932","0,972027972","-0,0372960373","-0,0932400932","-0,027972028","-0,027972028","-0,0186480186","-0,1025641026","-0,1585081585","-0,0839160839","-0,1864801865","-0,0186480186","-0,0186480186","0,8601398601","-0,0745920746","-0,1305361305","-0,0466200466","-0,1491841492","-0,027972028","-0,027972028","-0,1678321678","-0,0466200466","-0,0372960373","-0,0372960373"
Brown,"0,7552447552","-0,1048951049","-0,2272727273","0,7027972028","-0,1223776224","-0,1048951049","-0,2272727273","-0,2622377622","-0,1398601399","-0,2622377622","-0,034965035","-0,1748251748","0,7202797203","-0,1048951049","-0,1223776224","-0,2272727273","-0,0524475524","-0,2272727273","0,6678321678","-0,0524475524","0,6153846154","-0,1398601399","-0,0874125874","-0,1398601399","-0,1748251748","-0,0699300699","-0,0524475524","-0,0524475524","-0,1048951049","-0,0174825175","0,7727272727","-0,1048951049","-0,1048951049","-0,1048951049","-0,1048951049","-0,3146853147","-0,0699300699","0,6678321678","-0,0874125874","0,7027972028","-0,2272727273","-0,1923076923","-0,2622377622","-0,0874125874","0,7377622378","-0,0874125874","0,7377622378","-0,034965035","-0,0174825175","-0,0524475524","-0,0174825175","-0,1048951049","-0,0874125874","-0,1748251748","-0,0874125874","-0,2622377622","-0,1923076923","-0,0874125874","-0,2272727273","-0,1398601399","-0,0699300699","-0,2622377622",0,"-0,2272727273","0,5979020979","-0,034965035","-0,1748251748","-0,0174825175","-0,1223776224","-0,0699300699","-0,0524475524","-0,0699300699","-0,034965035","-0,2097902098","-0,1923076923","0,7202797203","-0,1748251748","-0,0524475524","-0,0699300699","-0,1748251748","-0,0524475524","-0,0524475524","-0,034965035","-0,1923076923","0,7027972028","-0,1573426573","0,6503496503","-0,034965035","-0,034965035","-0,2622377622","-0,1398601399","-0,2447552448","-0,0874125874","0,7202797203","-0,0524475524","-0,0524475524","-0,3146853147","-0,0874125874","-0,0699300699","-0,0699300699"
